,Year,Scenario,Country,Wind (Onshore),Wind (Offshore),Solar CSP,Solar PV,Hydro,Oil,Gas CCS,Gas,Nuclear,Geothermal,Coal,Coal CCS,Biomass,BECCS,Hydrogen
106,2015,Reference,DJ,0.0,0.0,0.0,0.0,0.0,41580196.322927445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2015,Reference,DZ,0.0,647976164.126232,0.0,28002267219.57363,10488032028.828634,922370452.57811,0.0,668093582229.5903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2015,Reference,EG,0.0,42852823654.214806,0.0,844895993.694032,125092550080.53871,2925318933.9874196,0.0,1327757535454.5137,0.0,0.0,0.0,0.0,8482282623.6700115,0.0,0.0
109,2015,Reference,ER,0.0,0.0,0.0,0.0,0.0,77582561.43180364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2015,Reference,ET,0.0,14385070843.60235,0.0,844895993.694032,103998973058.973,34481138.41413495,0.0,0.0,0.0,1020143021.3637642,0.0,0.0,1496456215.37991,0.0,0.0
111,2015,Reference,GA,0.0,0.0,0.0,0.0,14424716319.761509,277877409.5727346,0.0,1910311608.971279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2015,Reference,GH,0.0,0.0,0.0,1206994276.70576,69538296392.82178,384870353.7695357,0.0,73289256490.21558,0.0,0.0,0.0,0.0,63829885.964072,0.0,0.0
113,2015,Reference,GM,0.0,0.0,0.0,120699427.67057599,0.0,81132090.38619989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2015,Reference,GN,0.0,0.0,0.0,0.0,5082435689.040206,110542473.15119734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2015,Reference,GQ,0.0,0.0,0.0,0.0,5464352821.742649,9127360.168447487,0.0,9399946012.398357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2015,Reference,GW,0.0,0.0,0.0,0.0,0.0,13183964.687757483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2015,Reference,KE,0.0,1771134848.6117008,0.0,1569092559.7174878,34871972039.83078,593785486.5140004,0.0,0.0,0.0,22491724709.11537,0.0,0.0,964540499.0126435,0.0,0.0
118,2015,Reference,LR,0.0,0.0,0.0,0.0,117512963.90844408,66933974.56861491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2015,Reference,LS,0.0,0.0,0.0,0.0,3290362989.436434,507075.5649137493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2015,Reference,LY,0.0,0.0,0.0,362098283.011728,0.0,1279351650.2773895,0.0,356136664243.9313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2015,Reference,MA,0.0,18748110348.71898,15365113138.732105,3138185119.4349756,51617569396.78406,2006498010.363706,0.0,83720164323.3286,0.0,0.0,24548130031.689735,0.0,0.0,0.0,0.0
122,2015,Reference,ML,0.0,0.0,0.0,362098283.011728,7814612099.9115305,1129257283.0629196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,2015,Reference,MR,0.0,1727936437.669952,0.0,1206994276.70576,2115233350.3519933,244917497.85334092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,2015,Reference,MW,0.0,0.0,0.0,724196566.023456,15276685308.097729,70990579.0879249,0.0,0.0,0.0,0.0,0.0,0.0,319149429.82035995,0.0,0.0
125,2015,Reference,MZ,0.0,0.0,0.0,724196566.023456,94539179464.34326,16733493.642153727,0.0,7428989590.443863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,2015,Reference,NE,0.0,0.0,0.0,0.0,0.0,171898616.50576103,0.0,0.0,0.0,0.0,357132060.18537897,0.0,0.0,0.0,0.0
127,2015,Reference,NG,0.0,172793643.7669952,0.0,1206994276.70576,86019489580.98106,405660451.93099946,0.0,212256845441.2532,0.0,0.0,0.0,0.0,78014305.06719911,0.0,0.0
128,2015,Reference,NM,0.0,0.0,0.0,2896786264.093824,15541089476.89173,14705191.38249873,0.0,0.0,0.0,0.0,229316375.48745388,0.0,0.0,0.0,0.0
129,2015,Reference,RW,0.0,0.0,0.0,603497138.35288,3701658363.1159883,8620284.603533737,0.0,60644812.983215205,0.0,0.0,150371393.76226482,0.0,35461047.757817775,0.0,0.0
