r,t,y,TotalCapacityAnnual
REGION,AOCR00X00X,2057,999999999.0
REGION,AOCR00X00X,2058,999999999.0
REGION,AOCR00X00X,2059,999999999.0
REGION,AOCR00X00X,2060,999999456.886542
REGION,AOCR00X00X,2061,999999456.886542
REGION,AOCR00X00X,2062,999999456.886542
REGION,AOCR00X00X,2063,999999999.0
REGION,AOCR00X00X,2064,999999999.0
REGION,AOCR00X00X,2065,999999999.0
REGION,AOCR00X00X,2066,999999999.0
REGION,AOCR00X00X,2067,999999999.0
REGION,AOCR00X00X,2068,999999999.0
REGION,AOCR00X00X,2069,999999999.0
REGION,AOCR00X00X,2070,999999999.0
REGION,AOCRUDPROX,2015,145.173275
REGION,AOCRUDPROX,2016,145.173275
REGION,AOCRUDPROX,2017,145.173275
REGION,AOCRUDPROX,2018,145.173275
REGION,AOCRUDPROX,2019,145.173275
REGION,AOCRUDPROX,2020,161.861898098141
REGION,AOCRUDPROX,2021,161.861898098141
REGION,AOCRUDPROX,2022,161.861898098141
REGION,AOCRUDPROX,2023,161.861898098141
REGION,AOCRUDPROX,2024,161.861898098141
REGION,AOCRUDPROX,2025,147.344570598141
REGION,AOCRUDPROX,2026,132.827243098141
REGION,AOCRUDPROX,2027,118.309915598141
REGION,AOCRUDPROX,2028,103.792588098141
REGION,AOCRUDPROX,2029,89.275260598141
REGION,AOCRUDPROX,2030,74.757933098141
REGION,AOCRUDPROX,2031,60.240605598141
REGION,AOCRUDPROX,2032,45.723278098141
REGION,AOCRUDPROX,2033,31.205950598141
REGION,AOCRUDPROX,2034,16.688623098141
REGION,AOCRUDPROX,2035,16.688623098141
REGION,AOCRUDPROX,2036,16.688623098141
REGION,AOCRUDPROX,2037,16.688623098141
REGION,AOCRUDPROX,2038,16.688623098141
REGION,AOCRUDPROX,2039,16.688623098141
REGION,AOCRUDPROX,2040,16.688623098141
REGION,AOCRUDPROX,2041,16.688623098141
REGION,AOCRUDPROX,2042,16.688623098141
REGION,AOCRUDPROX,2043,16.688623098141
REGION,AOCRUDPROX,2044,16.688623098141
REGION,AOCRUDPROX,2045,16.688623098141
REGION,AOCRUDPROX,2046,16.688623098141
REGION,AOCRUDPROX,2047,16.688623098141
REGION,AOCRUDPROX,2048,16.688623098141
REGION,AOCRUDPROX,2049,16.688623098141
REGION,AOCRUDPROX,2050,16.688623098141
REGION,AOCRUDPROX,2051,16.688623098141
REGION,AOCRUDPROX,2052,16.688623098141
REGION,AOCRUDPROX,2053,16.688623098141
