r,t,y,NewCapacity
REGION,AOEL00TDTX,2025,0.205768322435931
REGION,AOEL00TDTX,2026,0.217507178874685
REGION,AOEL00TDTX,2027,0.233139627105555
REGION,AOEL00TDTX,2028,0.249918085159578
REGION,AOEL00TDTX,2029,0.267923343430003
REGION,AOEL00TDTX,2030,0.0522885917151616
REGION,AOEL00TDTX,2031,0.216760078610285
REGION,AOEL00TDTX,2032,0.246924617824452
REGION,AOEL00TDTX,2033,0.288613791276534
REGION,AOEL00TDTX,2034,0.359211749774922
REGION,AOEL00TDTX,2036,0.197839945171042
REGION,AOEL00TDTX,2037,0.241348810027735
REGION,AOEL00TDTX,2038,0.365791062670663
REGION,AOEL00TDTX,2039,0.429399803803787
REGION,AOEL00TDTX,2040,0.480489642573981
REGION,AOEL00TDTX,2041,0.383514237046761
REGION,AOEL00TDTX,2042,0.421228812761101
REGION,AOEL00TDTX,2043,0.462908714540212
REGION,AOEL00TDTX,2044,0.507070782852646
REGION,AOEL00TDTX,2045,0.544987392804883
REGION,AOEL00TDTX,2046,0.580981565393676
REGION,AOEL00TDTX,2047,0.621646179835995
REGION,AOEL00TDTX,2048,0.664920723768594
REGION,AOEL00TDTX,2049,0.710972040327105
REGION,AOEL00TDTX,2050,0.786370029326863
REGION,AOEL00TDTX,2051,0.536676386453493
REGION,AOEL00TDTX,2052,0.55806023906627
REGION,AOEL00TDTX,2053,0.580305028123302
REGION,AOEL00TDTX,2054,0.603445378155766
REGION,AOEL00TDTX,2055,0.574739059687704
REGION,AOEL00TDTX,2056,0.652550262551491
REGION,AOEL00TDTX,2057,0.678581152632738
REGION,AOEL00TDTX,2058,0.705650662789189
REGION,AOEL00TDTX,2059,0.733798172805763
REGION,AOEL00TDTX,2060,0.763065578833988
REGION,AOEL00TDTX,2061,0.581719522860023
REGION,AOEL00TDTX,2062,0.459469815892543
REGION,AOEL00TDTX,2063,0.474030522902066
REGION,AOEL00TDTX,2064,0.515458959336173
REGION,AOEL00TDTX,2065,0.500634794845784
